职业, 5447
学生, 4775
专业, 3819
教学, 3173
课程, 2252
高职, 2187
技术, 2128
企业, 2056
教师, 1690
能力, 1676
证书, 1505
院校, 1416
人才, 1226
技能, 1223
制度, 1203
学校, 1040
评价, 850
过程, 830
社会, 786
标准, 777
模式, 769
校企, 752
学院, 749
项目, 730
体系, 636
中国, 626
问题, 615
教材, 609
职业技能, 607
汽车, 600
产教, 592
国家, 577
目标, 539
行业, 537
产业, 528
岗位, 460
内容, 441
职业院校, 425
国际, 425
一带, 422
经济, 415
基地, 414
背景, 397
方面, 396
平台, 388
基础, 376
任务, 360
资源, 359
创业, 359
文化, 354
质量, 346
数据, 335
理论, 334
中职, 311
课堂, 286
特色, 285
素养, 284
国际化, 277
系统, 258
职教, 253
结构, 252
机制, 249
办学, 240
路径, 236
学报, 221
等级证书, 219
课程体系, 219
政策, 218
学位, 217
教学模式, 214
思政, 212
中文, 212
方案, 211
方式, 210
阶段, 207
协同, 202
高校, 200
指导, 195
水平, 184
核心, 179
巴基斯坦, 178
试点, 175
中巴, 175
模块, 167
情况, 167
大学, 158
领域, 157
交流, 157
方法, 156
非洲, 154
英语, 154
产业工人, 154
实际, 149
团队, 147
信息, 142
中心, 133
安徽, 132
导向, 130
人文, 128
工业, 125
学科, 125
功能, 125
安徽省, 124
双师, 123
传统, 123
专业课程, 122
医学, 122
日本, 121
政府, 121
教学内容, 120
区域, 119
精神, 117
实训室, 116
理念, 116
雷达, 115
智能, 114
时代, 112
三教, 112
信息化, 111
倡议, 110
海外, 110
地方, 109
汉语, 109
城市, 107
指标, 106
师资, 105
成果, 104
方向, 103
高质量, 102
计划, 102
食品, 101
素质, 101
机构, 97
高中, 97
工程, 96
学术, 95
案例, 94
科技, 94
课堂教学, 94
师资队伍, 93
市场, 93
物流, 93
机器人, 93
茶文化, 93
中医药, 92
社区, 92
框架, 91
类型, 91
工匠, 90
会计专业, 90
软件, 89
双高, 89
优势, 88
科目, 88
普通高中, 88
队伍, 88
全面, 86
航空, 86
普通, 86
北京, 86
学分, 84
主体, 84
智慧, 84
民办, 84
数字, 83
科学, 83
装备, 83
定位, 81
建筑, 81
时间, 81
金融, 81
因素, 80
专创, 80
环境, 77
模型, 77
部分, 76
结果, 76
语言, 76
分类, 75
成绩, 75
液压, 74
意识, 73
学员, 73
角色, 73
职工, 73
职校, 71
思想, 70
车辆, 70
地区, 70
无法, 69
策略, 69
工程造价, 69
元素, 69
数量, 69
化工, 69
沿线, 69
境外, 69
澳大利亚, 69
特点, 68
当地, 68
办刊, 68
书证, 67
世纪, 67
公安, 67
冰雪, 67
法治, 67
军事, 66
传感器, 66
商科, 66
图书馆, 66
媒体, 65
财务, 63
内涵, 63
之间, 63
生源, 63
当中, 62
毕业生, 62
语文, 62
心理, 62
形式, 61
故障, 61
海洋生物, 60
下肢, 60
模具, 59
产品, 59
专科, 59
战略, 59
艺术设计, 58
动力, 58
生态, 58
要素, 58
教学资源, 57
课程标准, 57
研究生, 57
胜任, 57
患者, 57
天线, 57
大赛, 56
电力, 56
高水平, 56
环节, 55
居民, 55
材料, 55
法律, 55
国内, 54
机械, 54
疫情, 54
问卷, 54
困境, 53
规模, 53
兴趣, 53
规划, 52
利益, 52
广东, 51
应用型, 51
气动, 51
毕业设计, 51
标签, 51
导师, 50
财税, 49
校内, 49
面向, 49
目录, 49
浙江, 49
宠物, 49
疼痛, 49
师生, 48
英语教学, 48
课程内容, 47
维度, 47
东华, 47
情境, 46
效果, 46
员工, 46
中非, 46
学业, 46
营养, 45
优质, 45
走廊, 45
北京市, 45
民办高校, 44
制造业, 44
利用, 43
银行, 43
教育部, 43
特征, 43
原理, 43
学徒, 43
农业, 43
福建, 43
用途, 42
医院, 42
人工智能, 42
专家, 41
活页, 41
逻辑, 41
历史, 41
大学生, 41
上线, 41
笔者, 41
铁道, 41
英语教材, 41
双创, 41
政治, 41
经营性, 41
幼儿, 41
精准, 40
转型, 40
生产总值, 40
实验室, 40
体验, 40
专项, 40
高职生, 40
集群, 40
编辑, 40
越轨, 40
成都, 39
美国, 39
海洋, 39
警务, 39
选择性, 39
建模, 38
模块化, 38
课证, 38
资金, 38
信息安全, 38
上海, 38
业务, 37
月刊, 37
美容, 37
人们, 37
风险, 37
实践性, 36
条件, 36
场景, 36
全国, 36
长三角, 36
高端, 36
关系, 35
学历证书, 35
基本, 35
单位, 35
小学教师, 35
内部, 35
集团, 35
流程, 34
程度, 34
教条, 34
工程师, 34
家乐, 34
文章, 34
留学生, 34
产业链, 34
栏目, 34
重点, 34
价值, 33
职业培训, 33
权重, 33
文件, 33
视频, 33
多媒体, 33
效应, 33
现实, 33
丘脑, 33
委员会, 33
烟草, 32
布局, 32
护理, 32
屏蔽门, 32
双方, 32
皮具, 32
华人, 32
地质灾害, 32
认同度, 32
对象, 31
气象站, 31
孔子, 31
警官, 31
大类, 31
资格, 31
合格, 31
信息技术, 31
司法, 31
规格, 31
非全日制, 30
整体, 30
原则, 30
协议, 30
物理, 30
石油, 30
地位, 30
个人, 29
手工, 29
空间, 29
感觉, 29
小组, 29
工学, 29
宿舍楼, 29
思维, 28
有限公司, 28
西餐, 28
现象, 28
戒烟, 28
公司, 28
在校生, 28
网络, 28
气象, 28
世界, 28
天津, 28
中药学, 28
地质, 28
图像处理, 28
数字化, 27
邮政, 27
文献, 27
以来, 27
记录, 27
外语, 27
师范大学, 27
常态, 27
语文课程, 27
产生, 27
造型, 26
实务, 26
资格证书, 26
电子商务, 26
深度, 26
财务管理, 26
课赛, 26
试点工作, 26
绘制, 26
机电, 26
吸烟率, 26
全过程, 26
职场, 26
轮机, 26
作业, 26
高考制度, 26
地震, 26
重构, 25
人员, 25
矩阵, 25
周刊, 25
门类, 25
敬业乐群, 25
阻尼器, 25
教材内容, 24
专门, 24
人数, 24
客户, 24
校园, 24
大湾, 24
